[ PSN ]

tEPS_Z
eps_z[426] = -7.177308e-07
eps_z[427] = 7.137803e-07
eps_z[428] = -6.470703e-07
eps_z[429] = 6.897440e-07
eps_z[430] = -7.466618e-07
eps_z[431] = -2.932339e-07
eps_z[432] = -7.351654e-07
eps_z[433] = 8.517643e-07
eps_z[434] = -1.629474e-08
eps_z[435] = -6.530430e-07
eps_z[436] = -9.322138e-07
eps_z[437] = 8.540492e-07
eps_z[438] = 6.173626e-09
eps_z[439] = -6.505113e-07
eps_z[440] = 7.277480e-08
eps_z[441] = -6.701895e-07
eps_z[442] = 6.785070e-07
eps_z[443] = -6.647342e-07
eps_z[444] = 8.780691e-08
eps_z[445] = -6.267507e-07
eps_z[446] = 6.223786e-07
eps_z[447] = -6.288335e-07
eps_z[448] = 8.646422e-07
eps_z[449] = 6.269254e-07
eps_z[450] = -3.767760e-07
eps_z[451] = -2.109649e-07
eps_z[452] = -6.504814e-07
eps_z[453] = 9.697004e-07
eps_z[454] = 1.754956e-07
eps_z[455] = -5.482728e-07
eps_z[456] = 3.475633e-09
eps_z[457] = 6.798854e-07
eps_z[458] = -9.484408e-07
eps_z[459] = -6.760108e-07
eps_z[460] = 1.094451e-06
eps_z[461] = -9.827737e-07
eps_z[462] = 8.516236e-07
eps_z[463] = 1.719584e-07
eps_z[464] = -5.037134e-07
eps_z[465] = 1.029247e-06
eps_z[466] = -8.706459e-07
eps_z[467] = -7.648036e-07
eps_z[468] = 7.248040e-07
eps_z[469] = 6.936436e-07
eps_z[470] = 2.392624e-07

SIGMA_X	SIGMA_y	TAU
sigma_x[0] = 7.596510e+03		sigma_y[0] = 5.092929e+05		tau[0] = -5.231199e+77
sigma_x[1] = -1.113915e+05		sigma_y[1] = -7.960088e+05		tau[1] = -5.231199e+77
sigma_x[2] = -1.326767e+05		sigma_y[2] = 6.258605e+04		tau[2] = -5.231199e+77
sigma_x[3] = 1.166330e+05		sigma_y[3] = -9.073686e+04		tau[3] = -5.231199e+77
sigma_x[4] = 9.757118e+03		sigma_y[4] = 6.810731e+05		tau[4] = -5.231199e+77
sigma_x[5] = -3.767802e+04		sigma_y[5] = -7.812661e+05		tau[5] = -5.231199e+77
sigma_x[6] = -1.279550e+05		sigma_y[6] = 9.235900e+04		tau[6] = -5.231199e+77
sigma_x[7] = -1.571892e+04		sigma_y[7] = 6.449827e+05		tau[7] = -5.231199e+77
sigma_x[8] = -1.202598e+05		sigma_y[8] = 8.999820e+04		tau[8] = -5.231199e+77
sigma_x[9] = 1.141660e+05		sigma_y[9] = -1.010442e+05		tau[9] = -5.231199e+77
sigma_x[10] = -1.153407e+05		sigma_y[10] = 1.008052e+05		tau[10] = -5.231199e+77
sigma_x[11] = 1.131753e+05		sigma_y[11] = -1.046615e+05		tau[11] = -5.231199e+77
sigma_x[12] = -1.234245e+05		sigma_y[12] = 8.817510e+04		tau[12] = -5.231199e+77
sigma_x[13] = -3.387727e+04		sigma_y[13] = 6.824008e+05		tau[13] = -5.231199e+77
sigma_x[14] = -1.178781e+05		sigma_y[14] = 9.654980e+04		tau[14] = -5.231199e+77
sigma_x[15] = -3.604005e+04		sigma_y[15] = 7.081190e+05		tau[15] = -5.231199e+77
sigma_x[16] = 6.530235e+03		sigma_y[16] = 7.378492e+05		tau[16] = -5.231199e+77
